symbol,date,open,high,low,close,volume,source_name,source_reference,source_report_sha256,verification_status,verification_notes
ALI,2022-12-29,30.1,30.8,29.95,30.8,10155300,Philippine Stock Exchange Daily Quotation Report,https://www.pse.com.ph/wp-content/uploads/sites/15/2022/12/December-29-2022.pdf,1401a65c53c0bfcc21c82e224296c6fe1e799d4b05d5a6443894b4eee0bc7068,VERIFIED,Primary extraction matched independent visual source-row check.
APX,2022-12-29,1.84,1.9,1.83,1.85,5265000,Philippine Stock Exchange Daily Quotation Report,https://www.pse.com.ph/wp-content/uploads/sites/15/2022/12/December-29-2022.pdf,1401a65c53c0bfcc21c82e224296c6fe1e799d4b05d5a6443894b4eee0bc7068,VERIFIED,Primary extraction matched independent visual source-row check.
BPI,2022-12-29,98.8,102,98.6,102,775120,Philippine Stock Exchange Daily Quotation Report,https://www.pse.com.ph/wp-content/uploads/sites/15/2022/12/December-29-2022.pdf,1401a65c53c0bfcc21c82e224296c6fe1e799d4b05d5a6443894b4eee0bc7068,VERIFIED,Primary extraction matched independent visual source-row check.
GLO,2022-12-29,2220,2234,2180,2180,21460,Philippine Stock Exchange Daily Quotation Report,https://www.pse.com.ph/wp-content/uploads/sites/15/2022/12/December-29-2022.pdf,1401a65c53c0bfcc21c82e224296c6fe1e799d4b05d5a6443894b4eee0bc7068,VERIFIED,Primary extraction matched independent visual source-row check.
ICT,2022-12-29,198.2,204.4,196.7,200,1111840,Philippine Stock Exchange Daily Quotation Report,https://www.pse.com.ph/wp-content/uploads/sites/15/2022/12/December-29-2022.pdf,1401a65c53c0bfcc21c82e224296c6fe1e799d4b05d5a6443894b4eee0bc7068,VERIFIED,Primary extraction matched independent visual source-row check.
JFC,2022-12-29,232,232,229.4,230,500210,Philippine Stock Exchange Daily Quotation Report,https://www.pse.com.ph/wp-content/uploads/sites/15/2022/12/December-29-2022.pdf,1401a65c53c0bfcc21c82e224296c6fe1e799d4b05d5a6443894b4eee0bc7068,VERIFIED,Primary extraction matched independent visual source-row check.
MBT,2022-12-29,54.7,54.85,54,54,1146450,Philippine Stock Exchange Daily Quotation Report,https://www.pse.com.ph/wp-content/uploads/sites/15/2022/12/December-29-2022.pdf,1401a65c53c0bfcc21c82e224296c6fe1e799d4b05d5a6443894b4eee0bc7068,VERIFIED,Primary extraction matched independent visual source-row check.
MEG,2022-12-29,2.13,2.15,2,2,20638000,Philippine Stock Exchange Daily Quotation Report,https://www.pse.com.ph/wp-content/uploads/sites/15/2022/12/December-29-2022.pdf,1401a65c53c0bfcc21c82e224296c6fe1e799d4b05d5a6443894b4eee0bc7068,VERIFIED,Primary extraction matched independent visual source-row check.
MER,2022-12-29,294.8,298.8,291.6,298.8,179630,Philippine Stock Exchange Daily Quotation Report,https://www.pse.com.ph/wp-content/uploads/sites/15/2022/12/December-29-2022.pdf,1401a65c53c0bfcc21c82e224296c6fe1e799d4b05d5a6443894b4eee0bc7068,VERIFIED,Primary extraction matched independent visual source-row check.
NIKL,2022-12-29,5.7,5.85,5.7,5.84,10299700,Philippine Stock Exchange Daily Quotation Report,https://www.pse.com.ph/wp-content/uploads/sites/15/2022/12/December-29-2022.pdf,1401a65c53c0bfcc21c82e224296c6fe1e799d4b05d5a6443894b4eee0bc7068,VERIFIED,Primary extraction matched independent visual source-row check.
PGOLD,2022-12-29,34.8,35,34.55,34.9,2484200,Philippine Stock Exchange Daily Quotation Report,https://www.pse.com.ph/wp-content/uploads/sites/15/2022/12/December-29-2022.pdf,1401a65c53c0bfcc21c82e224296c6fe1e799d4b05d5a6443894b4eee0bc7068,VERIFIED,Primary extraction matched independent visual source-row check.
