symbol,company_name,sector,source_name,source_reference,retrieval_date,raw_sha256,start_date,end_date,row_count,correction_count,session_completeness_status,formal_run_id,formal_cutoff,formal_git_sha
ALI,"Ayala Land, Inc.",Property,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,7fa104278a44a0a7311f9d4f0cac12b07c33f34e2690fe7045538f4bbbea80de,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
APX,"Apex Mining Co., Inc.",Mining and Oil,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,da3fe65acccaacc866213e058ae3c5856112423a98c9c918525e664c55fcbab2,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
BPI,Bank of the Philippine Islands,Financials,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,0d265fdbc6a9e87fa7d5ba5a19683f44a9987ca8c8aec584819ed12123b57502,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
GLO,"Globe Telecom, Inc.",Services,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,37671b462b429edd9c2bef1ef170ab18b36e745727978e3572244ead13a1d235,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
ICT,"International Container Terminal Services, Inc.",Services,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,0b8b9e9875939a069043eccbf694082d7291367387ce393193fc3e89a0f1c2b0,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
JFC,Jollibee Foods Corporation,Industrial,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,d1fc3c5b736439c89340029b95ea6dff1d2d538adc0bb71760517175de0d313f,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
MBT,Metropolitan Bank & Trust Company,Financials,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,de722b70a4f6994bea06f7fe7d8cf031f8ca9e9d2b065f2eee9b802de4073c2f,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
MEG,Megaworld Corporation,Property,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,c1be9632131c4f6deed4437ade656d528710ce34e8fae75a574934f117e15c21,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
MER,Manila Electric Company,Industrial,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,3df85b90461b60d3c35c419f8deef582a9865c1a08a9e5e40c954f228fbc7aed,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
NIKL,Nickel Asia Corporation,Mining and Oil,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,3325d576ff0c1f1360c4a8ef679a02a4c54ba7738d7bf114ab053a633d0b79c7,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
PGOLD,"Puregold Price Club, Inc.",Services,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,7e4ac38a7a8e565c1838597febda6a71e91b5b99dfe6f16167bc7e9a1e0f8d47,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
SCC,Semirara Mining and Power Corporation,Mining and Oil,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,bb145a27f68569c78086fc1344a5f94f58d676bc449796e6a744da2fc424bea1,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
SECB,Security Bank Corporation,Financials,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,1b0a852fc92eea7f6e38fe163c3a05f63008a726e079970f7a46cdc2052fcf4e,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
SHLPH,Shell Pilipinas Corporation,Industrial,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,dc2f4ba4a29ff0508172d490cf8dac6643c23236d3f5235ea0abbac299be3db4,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
SMPH,"SM Prime Holdings, Inc.",Property,Philippine Stock Exchange Daily Quotation Reports,https://documents.pse.com.ph/market_report,2026-07-17,12f29985b18749ca9dd4275ec80b75b717e7ee5065fa7da0dfb1804353697eb5,2020-01-02,2026-09-11,1635,2,PASS,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
