symbol,company_name,sector,start_date,end_date,row_count,required_columns_status,numeric_validity_status,positive_price_status,ohlc_relationship_status,negative_volume_count,duplicate_date_count,basic_validity_status,expected_session_count,observed_session_count,missing_session_count,unexpected_session_count,continuity_status,zero_volume_count,zero_volume_rate,zero_volume_status,unchanged_close_count,identical_ohlc_transition_count,max_identical_ohlc_run,max_identical_ohlc_run_start,max_identical_ohlc_run_end,stale_price_status,active_session_count,active_session_rate,median_volume,median_close_value_proxy,liquidity_status,material_discontinuity_count,max_absolute_return,max_absolute_return_date,material_discontinuity_dates,material_discontinuity_status,dataset_quality_status,screening_review_required,formal_run_id,formal_cutoff,formal_git_sha,rule_version
ALI,"Ayala Land, Inc.",Property,2020-01-02,2026-09-11,1635,PASS,PASS,PASS,PASS,0,0,PASS,1635,1635,0,0,PASS,0,0.0,PASS,86,0,1,,,PASS,1635,1.0,10500500.0,309222675.0,PASS,0,0.203125,,,PASS,PASS,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,data-quality-v1
APX,"Apex Mining Co., Inc.",Mining and Oil,2020-01-02,2026-09-11,1635,PASS,PASS,PASS,PASS,0,0,PASS,1635,1635,0,0,PASS,0,0.0,PASS,127,3,3,2021-09-29,2021-10-01,PASS,1635,1.0,3779000.0,9779280.0,PASS,1,0.34838709677419333,2020-10-16,2020-10-16,REVIEW,PASS,true,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,data-quality-v1
BPI,Bank of the Philippine Islands,Financials,2020-01-02,2026-09-11,1635,PASS,PASS,PASS,PASS,0,0,PASS,1635,1635,0,0,PASS,0,0.0,PASS,85,0,1,,,PASS,1635,1.0,1950820.0,195432230.0,PASS,0,0.1091492776886035,,,PASS,PASS,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,data-quality-v1
GLO,"Globe Telecom, Inc.",Services,2020-01-02,2026-09-11,1635,PASS,PASS,PASS,PASS,0,0,PASS,1635,1635,0,0,PASS,0,0.0,PASS,96,0,1,,,PASS,1635,1.0,47735.0,94535100.0,PASS,0,0.14035087719298245,,,PASS,PASS,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,data-quality-v1
ICT,"International Container Terminal Services, Inc.",Services,2020-01-02,2026-09-11,1635,PASS,PASS,PASS,PASS,0,0,PASS,1635,1635,0,0,PASS,0,0.0,PASS,96,0,1,,,PASS,1635,1.0,1339020.0,304608880.0,PASS,0,0.1588235294117647,,,PASS,PASS,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,data-quality-v1
JFC,Jollibee Foods Corporation,Industrial,2020-01-02,2026-09-11,1635,PASS,PASS,PASS,PASS,0,0,PASS,1635,1635,0,0,PASS,0,0.0,PASS,88,0,1,,,PASS,1635,1.0,659040.0,140234080.0,PASS,0,0.247107438016529,,,PASS,PASS,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,data-quality-v1
MBT,Metropolitan Bank & Trust Company,Financials,2020-01-02,2026-09-11,1635,PASS,PASS,PASS,PASS,0,0,PASS,1635,1635,0,0,PASS,0,0.0,PASS,92,0,1,,,PASS,1635,1.0,2509900.0,143104365.5,PASS,0,0.10377358490566035,,,PASS,PASS,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,data-quality-v1
MEG,Megaworld Corporation,Property,2020-01-02,2026-09-11,1635,PASS,PASS,PASS,PASS,0,0,PASS,1635,1635,0,0,PASS,0,0.0,PASS,233,8,2,2023-10-04,2023-10-05,PASS,1635,1.0,12161000.0,27849140.0,PASS,0,0.1784386617100372,,,PASS,PASS,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,data-quality-v1
MER,Manila Electric Company,Industrial,2020-01-02,2026-09-11,1635,PASS,PASS,PASS,PASS,0,0,PASS,1635,1635,0,0,PASS,0,0.0,PASS,108,0,1,,,PASS,1635,1.0,209450.0,77209494.0,PASS,0,0.13580246913580252,,,PASS,PASS,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,data-quality-v1
NIKL,Nickel Asia Corporation,Mining and Oil,2020-01-02,2026-09-11,1635,PASS,PASS,PASS,PASS,0,0,PASS,1635,1635,0,0,PASS,0,0.0,PASS,111,0,1,,,PASS,1635,1.0,4471200.0,18817200.0,PASS,0,0.1780303030303031,,,PASS,PASS,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,data-quality-v1
PGOLD,"Puregold Price Club, Inc.",Services,2020-01-02,2026-09-11,1635,PASS,PASS,PASS,PASS,0,0,PASS,1635,1635,0,0,PASS,0,0.0,PASS,146,0,1,,,PASS,1635,1.0,1467200.0,48931200.0,PASS,0,0.14035087719298245,,,PASS,PASS,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,data-quality-v1
SCC,Semirara Mining and Power Corporation,Mining and Oil,2020-01-02,2026-09-11,1635,PASS,PASS,PASS,PASS,0,0,PASS,1635,1635,0,0,PASS,0,0.0,PASS,125,1,2,2023-06-09,2023-06-13,PASS,1635,1.0,1615600.0,43090960.0,PASS,0,0.26644736842105265,,,PASS,PASS,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,data-quality-v1
SECB,Security Bank Corporation,Financials,2020-01-02,2026-09-11,1635,PASS,PASS,PASS,PASS,0,0,PASS,1635,1635,0,0,PASS,0,0.0,PASS,113,0,1,,,PASS,1635,1.0,361200.0,33396395.000000004,PASS,0,0.1386554621848739,,,PASS,PASS,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,data-quality-v1
