symbol,company_name,sector,raw_start,raw_end,raw_row_count,forecast_pair_count,development_start,development_end,development_pair_count,holdout_start,holdout_end,holdout_pair_count,cv_split_count,forecast_horizon,shuffle_used,formal_run_id,formal_cutoff,formal_git_sha
ALI,"Ayala Land, Inc.",Property,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
APX,"Apex Mining Co., Inc.",Mining and Oil,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
BPI,Bank of the Philippine Islands,Financials,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
GLO,"Globe Telecom, Inc.",Services,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
ICT,"International Container Terminal Services, Inc.",Services,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
JFC,Jollibee Foods Corporation,Industrial,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
MBT,Metropolitan Bank & Trust Company,Financials,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
MEG,Megaworld Corporation,Property,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
MER,Manila Electric Company,Industrial,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
NIKL,Nickel Asia Corporation,Mining and Oil,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
PGOLD,"Puregold Price Club, Inc.",Services,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
SCC,Semirara Mining and Power Corporation,Mining and Oil,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
SECB,Security Bank Corporation,Financials,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
SHLPH,Shell Pilipinas Corporation,Industrial,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
SMPH,"SM Prime Holdings, Inc.",Property,2020-01-02,2026-09-11,1635,1634,2020-01-03,2025-09-09,1388,2025-09-10,2026-09-11,246,5,1,false,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
