symbol,company_name,sector,model,diagnostic_scope,diagnostic_name,available,observations,lag,model_df,statistic,p_value,boolean_result,unavailable_reason,evidence_source,formal_run_id,formal_cutoff,formal_git_sha,supplementary_package_id
ALI,"Ayala Land, Inc.",Property,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
ALI,"Ayala Land, Inc.",Property,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
ALI,"Ayala Land, Inc.",Property,arima,fitted_residuals,ljung_box,true,1387,10,0,8.042583733279214,0.6246772893776243,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
ALI,"Ayala Land, Inc.",Property,arima,holdout_forecast_errors,ljung_box,true,246,10,0,6.630652413284059,0.7597926359535317,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
APX,"Apex Mining Co., Inc.",Mining and Oil,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
APX,"Apex Mining Co., Inc.",Mining and Oil,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
APX,"Apex Mining Co., Inc.",Mining and Oil,arima,fitted_residuals,ljung_box,true,1386,10,2,10.826718090842324,0.21171222509325202,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
APX,"Apex Mining Co., Inc.",Mining and Oil,arima,holdout_forecast_errors,ljung_box,true,246,10,0,17.428597173117673,0.06540205829718425,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
BPI,Bank of the Philippine Islands,Financials,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
BPI,Bank of the Philippine Islands,Financials,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
BPI,Bank of the Philippine Islands,Financials,arima,fitted_residuals,ljung_box,true,1386,10,2,2.2952827959333657,0.9705948866209057,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
BPI,Bank of the Philippine Islands,Financials,arima,holdout_forecast_errors,ljung_box,true,246,10,0,8.097432091550983,0.6193203718572969,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
GLO,"Globe Telecom, Inc.",Services,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
GLO,"Globe Telecom, Inc.",Services,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
GLO,"Globe Telecom, Inc.",Services,arima,fitted_residuals,ljung_box,true,1387,10,0,26.922671260898376,0.002678706977668509,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
GLO,"Globe Telecom, Inc.",Services,arima,holdout_forecast_errors,ljung_box,true,246,10,0,7.504442912451909,0.677117129974724,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
ICT,"International Container Terminal Services, Inc.",Services,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
ICT,"International Container Terminal Services, Inc.",Services,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
ICT,"International Container Terminal Services, Inc.",Services,arima,fitted_residuals,ljung_box,true,1386,10,2,17.605439798380566,0.02438710736838562,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
ICT,"International Container Terminal Services, Inc.",Services,arima,holdout_forecast_errors,ljung_box,true,246,10,0,7.621913597339977,0.6657134484032239,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
JFC,Jollibee Foods Corporation,Industrial,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
JFC,Jollibee Foods Corporation,Industrial,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
JFC,Jollibee Foods Corporation,Industrial,arima,fitted_residuals,ljung_box,true,1387,10,0,15.053157334630733,0.130135821154782,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
JFC,Jollibee Foods Corporation,Industrial,arima,holdout_forecast_errors,ljung_box,true,246,10,0,9.60183816404154,0.4760914670110674,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
MBT,Metropolitan Bank & Trust Company,Financials,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
MBT,Metropolitan Bank & Trust Company,Financials,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
MBT,Metropolitan Bank & Trust Company,Financials,arima,fitted_residuals,ljung_box,true,1386,10,2,12.057388766322838,0.14866164693389938,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
MBT,Metropolitan Bank & Trust Company,Financials,arima,holdout_forecast_errors,ljung_box,true,246,10,0,6.015822998934025,0.8139321162699268,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
MEG,Megaworld Corporation,Property,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
MEG,Megaworld Corporation,Property,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
MEG,Megaworld Corporation,Property,arima,fitted_residuals,ljung_box,true,1388,10,1,27.909221559906364,0.0009877550835650153,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
MEG,Megaworld Corporation,Property,arima,holdout_forecast_errors,ljung_box,true,246,10,0,30.553335745793497,0.0006950974113466716,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
MER,Manila Electric Company,Industrial,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
MER,Manila Electric Company,Industrial,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
MER,Manila Electric Company,Industrial,arima,fitted_residuals,ljung_box,true,1386,10,2,15.582232087949548,0.04876525328549421,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
MER,Manila Electric Company,Industrial,arima,holdout_forecast_errors,ljung_box,true,246,10,0,20.79390987898182,0.0225773746289086,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
NIKL,Nickel Asia Corporation,Mining and Oil,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
NIKL,Nickel Asia Corporation,Mining and Oil,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
NIKL,Nickel Asia Corporation,Mining and Oil,arima,fitted_residuals,ljung_box,true,1387,10,0,6.546373922394185,0.7674630247515174,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
NIKL,Nickel Asia Corporation,Mining and Oil,arima,holdout_forecast_errors,ljung_box,true,246,10,0,13.710968243869415,0.18658810395985043,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
PGOLD,"Puregold Price Club, Inc.",Services,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
PGOLD,"Puregold Price Club, Inc.",Services,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
PGOLD,"Puregold Price Club, Inc.",Services,arima,fitted_residuals,ljung_box,true,1387,10,1,9.996397093790504,0.3507769675470528,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
PGOLD,"Puregold Price Club, Inc.",Services,arima,holdout_forecast_errors,ljung_box,true,246,10,0,9.02662196095211,0.5295789329851054,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SCC,Semirara Mining and Power Corporation,Mining and Oil,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SCC,Semirara Mining and Power Corporation,Mining and Oil,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SCC,Semirara Mining and Power Corporation,Mining and Oil,arima,fitted_residuals,ljung_box,true,1387,10,0,8.31950234004291,0.5976593675895062,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SCC,Semirara Mining and Power Corporation,Mining and Oil,arima,holdout_forecast_errors,ljung_box,true,246,10,0,15.044416351404195,0.13045088787965822,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SECB,Security Bank Corporation,Financials,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SECB,Security Bank Corporation,Financials,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SECB,Security Bank Corporation,Financials,arima,fitted_residuals,ljung_box,true,1387,10,0,39.28598085639392,2.2621407711582973e-05,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SECB,Security Bank Corporation,Financials,arima,holdout_forecast_errors,ljung_box,true,246,10,0,3.611779520976789,0.9631659657462854,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SHLPH,Shell Pilipinas Corporation,Industrial,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SHLPH,Shell Pilipinas Corporation,Industrial,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SHLPH,Shell Pilipinas Corporation,Industrial,arima,fitted_residuals,ljung_box,true,1387,10,0,37.10101595723794,5.436081706296599e-05,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SHLPH,Shell Pilipinas Corporation,Industrial,arima,holdout_forecast_errors,ljung_box,true,246,10,0,16.250804689825863,0.09267439480702593,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SMPH,"SM Prime Holdings, Inc.",Property,arima,selected_fitted_model,stability_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SMPH,"SM Prime Holdings, Inc.",Property,arima,selected_fitted_model,invertibility_flag,true,,,,,,true,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SMPH,"SM Prime Holdings, Inc.",Property,arima,fitted_residuals,ljung_box,true,1386,10,2,2.9439830661054036,0.9378235291376251,,,supplementary_arima_diagnostic_status,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
SMPH,"SM Prime Holdings, Inc.",Property,arima,holdout_forecast_errors,ljung_box,true,246,10,0,9.295465932366007,0.5043111905031152,,,formal_arima_holdout_diagnostics,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03
