symbol,company_name,sector,lag_reg_rmse,arima_rmse,lstm_rmse,naive_rmse,lag_reg_rank,arima_rank,lstm_rank,best_principal_model,best_principal_rmse,best_evaluated_method,best_evaluated_rmse,best_principal_beats_naive,all_principals_worse_than_naive,winner_selection_metric,tie_policy,formal_run_id,formal_cutoff,formal_git_sha
ALI,"Ayala Land, Inc.",Property,0.4485503228048244,0.44967648714318026,0.4488864928045173,0.44967648714318026,1,3,2,lag_reg,0.4485503228048244,lag_reg,0.4485503228048244,true,false,rmse,"Exact RMSE ties are ordered deterministically as lag_reg, arima, lstm, naive. This order selects one reporting winner while preserving the tied metric values.",FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
APX,"Apex Mining Co., Inc.",Mining and Oil,0.546859950777262,0.5542508698755394,0.5463721325762673,0.5472280480616523,2,3,1,lstm,0.5463721325762673,lstm,0.5463721325762673,true,false,rmse,"Exact RMSE ties are ordered deterministically as lag_reg, arima, lstm, naive. This order selects one reporting winner while preserving the tied metric values.",FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
BPI,Bank of the Philippine Islands,Financials,2.311849116277291,2.2998399869830215,2.3120494691994162,2.356098297395903,2,1,3,arima,2.2998399869830215,arima,2.2998399869830215,true,false,rmse,"Exact RMSE ties are ordered deterministically as lag_reg, arima, lstm, naive. This order selects one reporting winner while preserving the tied metric values.",FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
GLO,"Globe Telecom, Inc.",Services,26.11552023130252,26.11038170001207,26.10360530411931,26.11038170001207,3,2,1,lstm,26.10360530411931,lstm,26.10360530411931,true,false,rmse,"Exact RMSE ties are ordered deterministically as lag_reg, arima, lstm, naive. This order selects one reporting winner while preserving the tied metric values.",FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
ICT,"International Container Terminal Services, Inc.",Services,19.022536753324733,17.861087590270586,17.833257774721748,18.221688140762016,3,2,1,lstm,17.833257774721748,lstm,17.833257774721748,true,false,rmse,"Exact RMSE ties are ordered deterministically as lag_reg, arima, lstm, naive. This order selects one reporting winner while preserving the tied metric values.",FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
JFC,Jollibee Foods Corporation,Industrial,4.015965847295446,4.013285862561269,4.027508915418926,4.013285862561269,2,1,3,arima,4.013285862561269,arima,4.013285862561269,false,false,rmse,"Exact RMSE ties are ordered deterministically as lag_reg, arima, lstm, naive. This order selects one reporting winner while preserving the tied metric values.",FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
MBT,Metropolitan Bank & Trust Company,Financials,1.137453048084884,1.134420559524224,1.137873822397901,1.1538685374105737,2,1,3,arima,1.134420559524224,arima,1.134420559524224,true,false,rmse,"Exact RMSE ties are ordered deterministically as lag_reg, arima, lstm, naive. This order selects one reporting winner while preserving the tied metric values.",FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
MEG,Megaworld Corporation,Property,0.028961834440373525,0.02896920364349305,0.029045291207972338,0.028895663162376066,1,2,3,lag_reg,0.028961834440373525,naive,0.028895663162376066,false,true,rmse,"Exact RMSE ties are ordered deterministically as lag_reg, arima, lstm, naive. This order selects one reporting winner while preserving the tied metric values.",FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
MER,Manila Electric Company,Industrial,10.158319322544228,10.429877779838321,10.600015582748835,10.29467460404903,1,2,3,lag_reg,10.158319322544228,lag_reg,10.158319322544228,true,false,rmse,"Exact RMSE ties are ordered deterministically as lag_reg, arima, lstm, naive. This order selects one reporting winner while preserving the tied metric values.",FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
NIKL,Nickel Asia Corporation,Mining and Oil,0.15353678140646798,0.15355410052687585,0.15359517567257783,0.15355410052687585,1,2,3,lag_reg,0.15353678140646798,lag_reg,0.15353678140646798,true,false,rmse,"Exact RMSE ties are ordered deterministically as lag_reg, arima, lstm, naive. This order selects one reporting winner while preserving the tied metric values.",FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
