sector,symbol,company_name,best_principal_model,best_evaluated_method,best_principal_beats_naive,lag_reg_rmse,arima_rmse,lstm_rmse,naive_rmse,lag_reg_mase,arima_mase,lstm_mase,naive_mase,lag_reg_rmse_rank,arima_rmse_rank,lstm_rmse_rank,lag_reg_vs_naive_squared_status,arima_vs_naive_squared_status,lstm_vs_naive_squared_status,lag_reg_vs_naive_absolute_status,arima_vs_naive_absolute_status,lstm_vs_naive_absolute_status,formal_run_id,formal_cutoff,formal_git_sha
Property,ALI,"Ayala Land, Inc.",lag_reg,lag_reg,true,0.4485503228048244,0.44967648714318026,0.4488864928045173,0.44967648714318026,0.6275425750746001,0.6301972937794145,0.6284634837678225,0.6301972937794145,1,3,2,not_significant,unavailable,not_significant,not_significant,unavailable,not_significant,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Mining and Oil,APX,"Apex Mining Co., Inc.",lstm,lstm,true,0.546859950777262,0.5542508698755394,0.5463721325762673,0.5472280480616523,7.490002241274249,7.689683234459395,7.506722617813468,7.492412972975321,2,3,1,not_significant,not_significant,not_significant,not_significant,not_significant,not_significant,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Financials,BPI,Bank of the Philippine Islands,arima,arima,true,2.311849116277291,2.2998399869830215,2.3120494691994162,2.356098297395903,1.1789162626426282,1.1731582654523924,1.1808674914006065,1.1888887925005467,2,1,3,not_significant,not_significant,not_significant,not_significant,not_significant,not_significant,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Services,GLO,"Globe Telecom, Inc.",lstm,lstm,true,26.11552023130252,26.11038170001207,26.10360530411931,26.11038170001207,0.591017043505341,0.5910170435053409,0.5875726080269945,0.5910170435053409,3,2,1,not_significant,unavailable,not_significant,not_significant,unavailable,not_significant,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Services,ICT,"International Container Terminal Services, Inc.",lstm,lstm,true,19.022536753324733,17.861087590270586,17.833257774721748,18.221688140762016,3.4343659150596,3.3544906349585726,3.343357224038802,3.381546773089861,3,2,1,not_significant,not_significant,not_significant,not_significant,not_significant,not_significant,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Industrial,JFC,Jollibee Foods Corporation,arima,arima,false,4.015965847295446,4.013285862561269,4.027508915418926,4.013285862561269,0.8743497716218868,0.8736371669898707,0.8705714249635736,0.8736371669898707,2,1,3,not_significant,unavailable,not_significant,not_significant,unavailable,not_significant,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Financials,MBT,Metropolitan Bank & Trust Company,arima,arima,true,1.137453048084884,1.134420559524224,1.137873822397901,1.1538685374105737,1.0320002343544405,1.0359420165216464,1.041076745543222,1.0497316877718685,2,1,3,significantly_better,not_significant,not_significant,not_significant,not_significant,not_significant,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Property,MEG,Megaworld Corporation,lag_reg,naive,false,0.028961834440373525,0.02896920364349305,0.029045291207972338,0.028895663162376066,0.5538944423688196,0.5557523690207966,0.5472069062842203,0.5427353234671253,1,2,3,not_significant,not_significant,significantly_worse,significantly_worse,significantly_worse,significantly_worse,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Industrial,MER,Manila Electric Company,lag_reg,lag_reg,true,10.158319322544228,10.429877779838321,10.600015582748835,10.29467460404903,1.5068567596162372,1.5343448931381745,1.5448407150120496,1.550963977769982,1,2,3,not_significant,not_significant,not_significant,not_significant,not_significant,not_significant,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Mining and Oil,NIKL,Nickel Asia Corporation,lag_reg,lag_reg,true,0.15353678140646798,0.15355410052687585,0.15359517567257783,0.15355410052687585,1.2288486578780478,1.2287366238385018,1.2295325336589757,1.2287366238385018,1,2,3,not_significant,unavailable,not_significant,not_significant,unavailable,not_significant,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Services,PGOLD,"Puregold Price Club, Inc.",arima,arima,true,0.8586167176242688,0.8566280230673917,0.8579874337313216,0.8585770038527211,1.2767313760094121,1.2735909692502765,1.2755456914716872,1.2761365560959088,3,1,2,not_significant,not_significant,not_significant,not_significant,not_significant,not_significant,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Mining and Oil,SCC,Semirara Mining and Power Corporation,arima,arima,false,0.7836134580754822,0.7810900242713769,0.7823955700204195,0.7810900242713769,1.203207241807836,1.189015408242615,1.193569452524837,1.189015408242615,3,1,2,not_significant,unavailable,not_significant,not_significant,unavailable,significantly_worse,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Financials,SECB,Security Bank Corporation,arima,arima,false,0.9652278123634048,0.9650656071046467,0.9665142511339483,0.9650656071046467,0.5140293162957094,0.5104446445482914,0.5141027645920763,0.5104446445482914,2,1,3,not_significant,unavailable,not_significant,not_significant,unavailable,not_significant,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Industrial,SHLPH,Shell Pilipinas Corporation,arima,arima,false,0.31234147772082455,0.3114116821385442,0.312602535223059,0.3114116821385442,1.017587060767795,1.0059459185941424,1.0337527632353782,1.0059459185941424,2,1,3,not_significant,unavailable,not_significant,not_significant,unavailable,significantly_worse,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
Property,SMPH,"SM Prime Holdings, Inc.",lstm,lstm,true,0.41253058524278463,0.4120385392020066,0.41138176766828644,0.41939561624655686,0.5593519934765685,0.550141480670695,0.54703684143354,0.5601646260758992,3,2,1,not_significant,not_significant,not_significant,not_significant,not_significant,not_significant,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
