symbol,company_name,sector,lir_selected_alpha,lir_selected_features,lir_selected_feature_count,lir_selection_mean_validation_rmse,lir_alpha_grid_boundary_status,arima_p,arima_d,arima_q,arima_trend,arima_drift_enabled,arima_selection_mean_validation_rmse,arima_convergence_status,lstm_lookback,lstm_hidden_size,lstm_learning_rate,lstm_batch_size,lstm_selection_mean_validation_rmse,lstm_validation_rmse_std,lstm_selected_epoch_count,lstm_tuning_seeds,lstm_final_seed,selection_criterion,cv_splits,formal_run_id,formal_cutoff,formal_git_sha
ALI,"Ayala Land, Inc.",Property,0.3,,0,0.6674615635651954,interior,0,1,0,n,false,0.6679622624938252,confirmed_converged,20,16,0.001,32,0.6705704412727127,0.06468877151121492,41,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
APX,"Apex Mining Co., Inc.",Mining and Oil,0.01,,0,0.07881246474152488,interior,1,1,1,n,false,0.07830723342800916,confirmed_converged,5,16,0.001,32,0.07918712399056578,0.0461390412611001,1,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
BPI,Bank of the Philippine Islands,Financials,0.1,return_lag_2|return_lag_14|open_close_spread_pct|close_location_in_range|close_relative_sma_5,5,1.8802205691564766,interior,1,1,1,n,false,1.8707474240051585,confirmed_converged,5,16,0.003,32,1.878500201346221,0.34490112153750896,9,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
GLO,"Globe Telecom, Inc.",Services,10.0,,0,44.13363609748455,interior,0,1,0,n,false,43.88936840585633,confirmed_converged,5,16,0.003,32,44.56467152909511,18.762868919984193,2,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
ICT,"International Container Terminal Services, Inc.",Services,0.1,return_lag_2|return_lag_17|return_lag_19|return_mean_5|return_std_5|volume_change_1|volume_z_5|volume_ratio_20|range_pct|close_location_in_range|macd_relative|bollinger_z_20|bollinger_width_20|bollinger_position_20,14,5.773925753498838,interior,1,1,1,t,true,5.676505979537073,confirmed_converged,5,32,0.001,32,5.731840963426164,2.2521025388508193,16,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
JFC,Jollibee Foods Corporation,Industrial,3.0,,0,4.360286089310506,interior,0,1,0,n,false,4.318740739121215,confirmed_converged,5,16,0.003,32,4.34688231210849,0.5502216476602,8,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
MBT,Metropolitan Bank & Trust Company,Financials,0.1,close_location_in_range,1,1.080096772953604,interior,2,1,0,n,false,1.0853920877972707,confirmed_converged,5,16,0.001,32,1.0739792761386238,0.1818355549764479,20,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
MEG,Megaworld Corporation,Property,0.03,,0,0.04038483119301994,interior,1,0,0,n,false,0.04169888721527941,confirmed_converged,10,32,0.003,32,0.0413062924114107,0.01712196383223175,1,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
MER,Manila Electric Company,Industrial,0.3,return_lag_2|return_lag_8|return_lag_11|return_std_10|open_close_spread_pct|close_location_in_range|close_relative_sma_5,7,6.346044497934916,interior,1,1,1,n,false,6.263076851241575,confirmed_converged,20,32,0.001,32,6.34277447262799,1.7446626730270072,28,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
NIKL,Nickel Asia Corporation,Mining and Oil,0.03,,0,0.13373645580391874,interior,0,1,0,n,false,0.1346895711378941,confirmed_converged,5,32,0.001,32,0.13444980884062882,0.04768227106249997,1,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
PGOLD,"Puregold Price Club, Inc.",Services,0.3,,0,0.6146153988111955,interior,1,1,0,n,false,0.6219386256598536,confirmed_converged,10,32,0.003,32,0.6201331106688373,0.14084352136392334,10,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
SCC,Semirara Mining and Power Corporation,Mining and Oil,0.01,return_lag_1|return_lag_13|return_mean_5|return_std_10|volume_change_1|range_pct|close_location_in_range|ema_relative_12|bollinger_z_20|bollinger_width_20|bollinger_position_20,11,0.6129009302499671,interior,0,1,0,n,false,0.6144133205160047,confirmed_converged,20,32,0.001,32,0.6119722901446703,0.15169048191581852,1,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
SECB,Security Bank Corporation,Financials,1.0,,0,1.6077251564954227,interior,0,1,0,n,false,1.6560697945391607,confirmed_converged,5,32,0.003,32,1.6235298365390571,0.3293610115263367,17,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
SHLPH,Shell Pilipinas Corporation,Industrial,0.3,,0,0.22092618617306922,interior,0,1,0,n,false,0.22648326887704556,confirmed_converged,20,16,0.001,32,0.2257422079592988,0.1030148576172418,16,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
SMPH,"SM Prime Holdings, Inc.",Property,0.03,return_lag_2|range_pct|open_close_spread_pct|close_location_in_range|close_relative_sma_10|bollinger_z_20,6,0.6467972392397163,interior,1,1,1,t,true,0.6516488399801913,confirmed_converged,20,16,0.003,32,0.6478741107867828,0.09180070427139785,5,11|29|47,42,mean_validation_rmse,5,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56
